COUNTY,RACE,YEAR,POP
Fayette,HTOM,2019,29
Fayette,HTOM,2020,53
Fayette,HTOM,2021,29
Fayette,HTOM,2022,44
Fayette,HTOM,2023,36
Fayette,HWA,2000,288
Fayette,HWA,2001,330
Fayette,HWA,2002,338
Fayette,HWA,2003,367
Fayette,HWA,2004,398
Fayette,HWA,2005,392
Fayette,HWA,2006,409
Fayette,HWA,2007,436
Fayette,HWA,2008,443
Fayette,HWA,2009,466
Fayette,HWA,2010,904
Fayette,HWA,2011,431
Fayette,HWA,2012,420
Fayette,HWA,2013,425
Fayette,HWA,2014,472
Fayette,HWA,2015,487
Fayette,HWA,2016,476
Fayette,HWA,2017,480
Fayette,HWA,2018,507
Fayette,HWA,2019,526
Fayette,HWA,2020,1109
Fayette,HWA,2021,579
Fayette,HWA,2022,581
Fayette,HWA,2023,583
Fayette,IA,2000,47
Fayette,IA,2001,47
Fayette,IA,2002,48
Fayette,IA,2003,50
Fayette,IA,2004,49
Fayette,IA,2005,70
Fayette,IA,2006,65
Fayette,IA,2007,70
Fayette,IA,2008,69
Fayette,IA,2009,70
Fayette,IA,2010,150
Fayette,IA,2011,74
Fayette,IA,2012,73
Fayette,IA,2013,73
Fayette,IA,2014,78
Fayette,IA,2015,79
Fayette,IA,2016,88
Fayette,IA,2017,90
Fayette,IA,2018,89
Fayette,IA,2019,85
Fayette,IA,2020,170
Fayette,IA,2021,88
Fayette,IA,2022,91
Fayette,IA,2023,89
Fayette,NHAA,2000,133
Fayette,NHAA,2001,143
Fayette,NHAA,2002,148
Fayette,NHAA,2003,145
Fayette,NHAA,2004,141
Fayette,NHAA,2005,148
Fayette,NHAA,2006,147
Fayette,NHAA,2007,158
Fayette,NHAA,2008,142
Fayette,NHAA,2009,160
Fayette,NHAA,2010,313
Fayette,NHAA,2011,166
Fayette,NHAA,2012,175
Fayette,NHAA,2013,183
Fayette,NHAA,2014,207
Fayette,NHAA,2015,221
Fayette,NHAA,2016,242
Fayette,NHAA,2017,255
Fayette,NHAA,2018,265
Fayette,NHAA,2019,283
Fayette,NHAA,2020,597
Fayette,NHAA,2021,316
Fayette,NHAA,2022,345
Fayette,NHAA,2023,363
Fayette,NHBA,2000,582
Fayette,NHBA,2001,578
Fayette,NHBA,2002,595
Fayette,NHBA,2003,584
Fayette,NHBA,2004,573
Fayette,NHBA,2005,563
Fayette,NHBA,2006,572
Fayette,NHBA,2007,577
Fayette,NHBA,2008,595
Fayette,NHBA,2009,589
Fayette,NHBA,2010,1140
Fayette,NHBA,2011,573
Fayette,NHBA,2012,571
Fayette,NHBA,2013,591
Fayette,NHBA,2014,587
Fayette,NHBA,2015,581
Fayette,NHBA,2016,594
Fayette,NHBA,2017,607
Fayette,NHBA,2018,602
Fayette,NHBA,2019,600
Fayette,NHBA,2020,1315
Fayette,NHBA,2021,680
Fayette,NHBA,2022,663
Fayette,NHBA,2023,675
Fayette,NHIA,2000,41
Fayette,NHIA,2001,41
Fayette,NHIA,2002,42
Fayette,NHIA,2003,44
Fayette,NHIA,2004,43
